video_id,frames,fps
P01-20240202-110250,11888,30.0
P01-20240202-161354,9828,30.0
P01-20240202-161948,23088,30.0
P01-20240202-171220,15390,30.0
P01-20240202-175627,6052,30.0
P01-20240202-195538,16123,30.0
P01-20240203-093333,5200,30.0
P01-20240203-121517,14194,30.0
P01-20240203-123350,52615,30.0
P01-20240203-130505,24861,30.0
P01-20240203-132119,33754,30.0
P01-20240203-135502,75600,30.0
P01-20240203-150506,21261,30.0
P01-20240203-152323,4199,30.0
P01-20240203-152956,5286,30.0
P01-20240203-161757,7243,30.0
P01-20240203-184045,1585,30.0
P01-20240203-184214,39861,30.0
P01-20240204-095114,4966,30.0
P01-20240204-120411,7044,30.0
P01-20240204-121042,45777,30.0
P01-20240204-124504,2659,30.0
P01-20240204-130448,15277,30.0
P01-20240204-142301,55791,30.0
P01-20240204-145458,32656,30.0
P01-20240204-152537,13374,30.0
P01-20240204-160230,3983,30.0
P02-20240209-184316,53639,30.0
P02-20240209-194141,27734,30.0
P02-20240209-231412,969,30.0
P02-20240210-092616,1374,30.0
P02-20240210-100308,6450,30.0
P02-20240210-100930,291,30.0
P02-20240210-113925,24451,30.0
P02-20240210-122334,16175,30.0
P02-20240210-195833,6760,30.0
P02-20240210-220650,1429,30.0
P02-20240211-100250,10493,30.0
P02-20240211-104948,9647,30.0
P02-20240211-111219,8126,30.0
P02-20240211-111822,68043,30.0
P02-20240211-115653,19465,30.0
P02-20240211-120927,93484,30.0
P02-20240211-141313,45341,30.0
P02-20240211-175138,58075,30.0
P02-20240211-182630,42532,30.0
P03-20240216-084005,31926,30.0
P03-20240216-090759,14932,30.0
P03-20240216-185832,134554,30.0
P03-20240216-205923,43889,30.0
P03-20240216-223126,4614,30.0
P03-20240217-091657,28349,30.0
P03-20240217-094713,4844,30.0
P03-20240217-100448,9167,30.0
P03-20240217-130208,3872,30.0
P03-20240217-131219,98377,30.0
P03-20240217-150310,27318,30.0
P03-20240217-152152,4573,30.0
P03-20240217-192543,101375,30.0
P03-20240217-210126,5553,30.0
P03-20240217-210958,37167,30.0
P03-20240218-094452,30740,30.0
P03-20240218-101509,8909,30.0
P03-20240218-140054,33791,30.0
P03-20240218-144430,26272,30.0
P03-20240218-190556,96966,30.0
P03-20240218-202148,25374,30.0
P04-20240413-142619,43460,30.0
P04-20240413-145245,36989,30.0
P04-20240413-151722,37469,30.0
P04-20240414-064514,7720,30.0
P04-20240414-065311,48297,30.0
P04-20240414-072251,38322,30.0
P04-20240414-162242,5470,30.0
P04-20240414-162750,34822,30.0
P04-20240414-164751,9536,30.0
P04-20240414-165333,16844,30.0
P04-20240414-170520,26481,30.0
P04-20240414-172534,3565,30.0
P04-20240414-173337,28267,30.0
P04-20240414-175337,16973,30.0
P04-20240414-181030,37449,30.0
P04-20240415-175615,27551,30.0
P04-20240415-181212,48377,30.0
P04-20240415-184003,31130,30.0
P05-20240423-170021,35093,30.0
P05-20240423-172243,10374,30.0
P05-20240423-175745,3053,30.0
P05-20240423-180529,35149,30.0
P05-20240423-183358,1179,30.0
P05-20240424-085204,8373,30.0
P05-20240424-090812,4854,30.0
P05-20240424-130119,8886,30.0
P05-20240424-131231,1110,30.0
P05-20240424-171038,39395,30.0
P05-20240424-175101,16030,30.0
P05-20240425-082420,9105,30.0
P05-20240425-083515,5908,30.0
P05-20240425-124420,6744,30.0
P05-20240425-125459,853,30.0
P05-20240425-171455,32059,30.0
P05-20240425-173353,19263,30.0
P05-20240425-180658,7264,30.0
P05-20240425-201444,48895,30.0
P05-20240426-085333,13000,30.0
P05-20240426-091011,3401,30.0
P05-20240426-092000,2960,30.0
P05-20240427-143353,37577,30.0
P05-20240427-145526,12812,30.0
P05-20240427-150402,5543,30.0
P05-20240427-151808,3821,30.0
P06-20240510-090328,60495,30.0
P06-20240510-094438,6006,30.0
P06-20240510-100047,43925,30.0
P06-20240510-104642,95081,30.0
P06-20240510-115307,33385,30.0
P06-20240510-121619,35654,30.0
P06-20240510-135423,13013,30.0
P06-20240510-140459,55702,30.0
P06-20240511-102207,75997,30.0
P06-20240511-121048,19005,30.0
P06-20240511-122221,3684,30.0
P07-20240529-102652,27945,30.0
P07-20240529-131737,18237,30.0
P07-20240529-134410,31921,30.0
P07-20240529-191007,57325,30.0
P07-20240529-194518,51071,30.0
P07-20240530-102543,62907,30.0
P07-20240530-111344,4775,30.0
P07-20240531-101357,77376,30.0
P07-20240531-201703,56507,30.0
P08-20240613-122900,5964,30.0
P08-20240613-123547,30358,30.0
P08-20240614-085000,32637,30.0
P08-20240614-125650,36730,30.0
P08-20240614-132938,4754,30.0
P08-20240614-184945,30257,30.0
P08-20240617-130401,59807,30.0
P08-20240617-184909,56189,30.0
P08-20240618-163547,59343,30.0
P08-20240618-171546,35536,30.0
P08-20240620-180825,50720,30.0
P08-20240622-141902,33576,30.0
P09-20240621-093545,88798,30.0
P09-20240621-153208,30598,30.0
P09-20240622-150155,74956,30.0
P09-20240622-154652,31965,30.0
P09-20240622-162302,31752,30.0
P09-20240622-194642,11303,30.0
P09-20240623-120359,109199,30.0
P09-20240623-153253,7583,30.0
P09-20240623-153748,8989,30.0
P09-20240623-154547,1062,30.0
P09-20240624-160737,64669,30.0
P09-20240624-165332,42594,30.0
P09-20240625-103827,4832,30.0